ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,PNACENT,PNACOE,P3YM_HLI,P3HLINHE,P3HLI_HE,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,GRAPROES,PEA,POCUPADA,PDESOCUP,PE_INAC,TOTHOG,POBHOG,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,TVIVPARHAB,VIVPAR_HAB,PROM_OCUP,PRO_OCUP_C,PSINDER,PDER_SS
31,Yucatán,000,Total de la entidad Yucatán,0000,Total de la Entidad,2320898,2029698,269765,525092,24640,497656,520580,23929,493856,983257,69599,9.59,1160284,1146809,13475,713910,658085,2317081,837334,658351,812181,108752,70231,2317081,658085,633198,3.52,1.05,505108,1810121
31,Yucatán,000,Total de la entidad Yucatán,9998,Localidades de una vivienda,3950,3295,546,1746,194,1549,1742,194,1545,2467,149,6.51,2467,2462,5,890,1454,3920,1705,1456,1677,136,113,3920,1454,1428,2.70,1.08,1143,2792
31,Yucatán,000,Total de la entidad Yucatán,9999,Localidades de dos viviendas,955,856,92,549,98,445,545,97,442,740,46,6.29,504,502,2,276,296,955,457,296,454,75,86,955,296,293,3.23,1.36,230,725
31,Yucatán,001,Abalá,0000,Total del Municipio,6550,6518,28,3484,89,3383,3438,88,3338,5197,377,6.77,2809,2774,35,2410,1822,6550,2208,1822,2208,219,167,6550,1822,1822,3.59,1.46,1193,5356
31,Yucatán,001,Abalá,0001,Abalá,2039,2014,21,548,0,548,547,0,547,1139,47,8.15,941,931,10,719,608,2039,742,608,742,72,62,2039,608,608,3.35,1.29,249,1789
31,Yucatán,001,Abalá,0003,Mucuyché,490,490,0,345,7,338,343,7,336,479,1,6.50,212,212,0,183,147,490,185,147,185,25,13,490,147,147,3.33,1.64,59,431
31,Yucatán,001,Abalá,0005,Sihunchén,282,282,0,76,0,76,76,0,76,184,0,6.85,113,106,7,129,80,282,96,80,96,5,11,282,80,80,3.53,1.33,61,221
31,Yucatán,001,Abalá,0006,Temozón,668,666,2,310,1,308,309,1,307,592,312,7.60,272,269,3,290,173,668,228,173,228,38,17,668,173,173,3.86,1.42,125,543
31,Yucatán,001,Abalá,0007,Uayalceh,2608,2603,5,2101,81,2009,2059,80,1968,2588,17,5.42,1075,1066,9,911,671,2608,771,671,771,66,34,2608,671,671,3.89,1.65,554,2054
31,Yucatán,001,Abalá,0008,Peba,239,239,0,68,0,68,68,0,68,134,0,7.16,109,106,3,89,76,239,92,76,92,0,16,239,76,76,3.14,1.31,80,159
31,Yucatán,001,Abalá,0009,Cacao,220,220,0,33,0,33,33,0,33,77,0,6.25,84,81,3,88,65,220,91,65,91,13,13,220,65,65,3.38,1.38,63,157
31,Yucatán,001,Abalá,0065,Arturo Caamal Carrillo,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,1,*,*,*,*,*,*,*,*,*,*
31,Yucatán,001,Abalá,0069,Margaritas,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*
31,Yucatán,001,Abalá,9998,Localidades de una vivienda,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,2,*,*,*,*,*,*,*,*,*,*
31,Yucatán,002,Acanceh,0000,Total del Municipio,16772,16471,283,4442,33,4396,4434,33,4388,10460,117,8.33,8524,8469,55,5136,4259,16772,4914,4259,4830,375,280,16772,4259,4175,3.94,1.38,3208,13559
31,Yucatán,002,Acanceh,0001,Acanceh,11917,11728,172,2595,24,2561,2593,24,2559,6874,73,8.62,5976,5945,31,3766,2959,11917,3395,2959,3314,262,174,11917,2959,2878,4.03,1.37,2283,9631
31,Yucatán,002,Acanceh,0002,Canicab,855,838,16,431,4,425,430,4,424,742,24,7.41,483,479,4,200,251,855,286,251,286,23,12,855,251,251,3.41,1.35,185,670
31,Yucatán,002,Acanceh,0003,Cibceh,52,52,0,22,0,22,22,0,22,44,0,4.13,26,26,0,20,15,52,18,15,18,0,3,52,15,15,3.47,2.48,11,41
31,Yucatán,002,Acanceh,0005,Petectunich,695,688,7,375,2,373,373,2,371,649,2,6.59,363,356,7,190,174,695,210,174,210,20,16,695,174,174,3.99,1.77,138,557
31,Yucatán,002,Acanceh,0006,Sacchich,262,262,0,39,1,38,39,1,38,101,7,7.53,127,125,2,84,66,262,77,66,77,4,7,262,66,66,3.97,1.57,37,225
31,Yucatán,002,Acanceh,0010,Tepich Carrillo,965,928,37,470,0,469,467,0,466,856,1,8.46,585,580,5,205,240,965,280,240,280,18,22,965,240,240,4.02,1.21,121,843
