ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P_TOTAL,TOTHOG,P3YM_HLI,P3HLINHE,P3HLI_HE,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,PNACENT,PNACOE,VIVTOT,T_VIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB
31,Yucatán,000,Total de la entidad Yucatán,0000,Total de la Entidad,1955577,503106,544927,43010,492297,537516,40273,487751,956352,1772324,156210,638502,507248,634360,503106,507145
31,Yucatán,000,Total de la entidad Yucatán,9998,Localidades de una vivienda,4513,1491,2474,388,2040,2440,377,2018,3404,4041,380,1987,1503,1975,1491,1501
31,Yucatán,000,Total de la entidad Yucatán,9999,Localidades de dos viviendas,1260,336,844,222,614,824,213,603,1075,1190,58,442,338,440,336,338
31,Yucatán,001,Abalá,0000,Total del Municipio,6356,1606,3799,206,3545,3725,200,3477,5505,6322,25,1829,1608,1827,1606,1608
31,Yucatán,001,Abalá,9998,Localidades de una vivienda,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
31,Yucatán,001,Abalá,9999,Localidades de dos viviendas,7,2,1,0,1,1,0,1,6,7,0,3,2,3,2,2
31,Yucatán,001,Abalá,0001,Abalá,1890,523,624,4,614,624,4,614,1281,1867,16,628,525,626,523,525
31,Yucatán,001,Abalá,0003,Mucuyché,494,127,391,17,374,390,17,373,494,494,0,140,127,140,127,127
31,Yucatán,001,Abalá,0005,Sihunchén,334,89,142,0,140,142,0,140,282,333,1,94,89,94,89,89
31,Yucatán,001,Abalá,0006,Temozón,760,185,419,6,379,419,6,379,727,756,3,203,185,203,185,185
31,Yucatán,001,Abalá,0007,Uayalceh,2323,542,2022,179,1840,1949,173,1773,2319,2321,2,589,542,589,542,542
31,Yucatán,001,Abalá,0008,Peba,271,71,120,0,120,120,0,120,218,270,0,87,71,87,71,71
31,Yucatán,001,Abalá,0009,Cacao,276,66,79,0,76,79,0,76,177,273,3,84,66,84,66,66
31,Yucatán,001,Abalá,0025,San Juan Tehbacal,1,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*
31,Yucatán,001,Abalá,0027,Víctor,7,*,*,*,*,*,*,*,*,*,*,3,2,*,*,*
31,Yucatán,002,Acanceh,0000,Total del Municipio,15337,3693,4910,43,4667,4904,43,4661,10719,15118,191,4160,3695,4158,3693,3695
31,Yucatán,002,Acanceh,9998,Localidades de una vivienda,28,9,8,0,8,8,0,8,12,18,10,9,9,9,9,9
31,Yucatán,002,Acanceh,0001,Acanceh,10968,2561,3088,14,3004,3083,14,2999,7301,10822,125,2916,2562,2915,2561,2562
