"MUN","NOM_MUN","BornInState2010","BornInState2020","BornInStateChange","PercentageChange","PercentageChangeToMunicipalityPop","PercentageChangeToTotalPop"
41,"Kanasín",69163,120754,51591,74.59,65.55,2.64
13,"Conkal",8660,12431,3771,43.55,41.24,0.19
73,"Tahdziú",4426,5778,1352,30.55,30.4,0.07
101,"Umán",47441,61094,13653,28.78,26.77,0.7
43,"Kaua",2713,3310,597,22.01,21.62,0.03
25,"Dzán",4812,5835,1023,21.26,20.7,0.05
49,"Mayapán",3252,3903,651,20.02,19.91,0.03
11,"Celestún",6251,7555,1304,20.86,19.09,0.07
3,"Akil",10139,11949,1810,17.85,17.47,0.09
92,"Tixcacalcupul",6575,7638,1063,16.17,15.95,0.05
59,"Progreso",47133,55703,8570,18.18,15.88,0.44
56,"Oxkutzcab",27945,32576,4631,16.57,15.79,0.24
21,"Chichimilá",7768,8989,1221,15.72,15.35,0.06
100,"Ucú",3370,3894,524,15.55,15.11,0.03
87,"Tetiz",4685,5392,707,15.09,14.96,0.04
10,"Cantamayec",2375,2724,349,14.69,14.5,0.02
19,"Chemax",32916,37757,4841,14.71,14.46,0.25
94,"Tixmehuac",4659,5337,678,14.55,14.29,0.03
46,"Mama",2818,3225,407,14.44,14.09,0.02
105,"Yaxkukul",2761,3155,394,14.27,13.74,0.02
38,"Hunucmá",29941,34095,4154,13.87,13.52,0.21
44,"Kinchil",6519,7394,875,13.42,13.32,0.04
61,"Río Lagartos",3290,3741,451,13.71,13.12,0.02
47,"Maní",5124,5782,658,12.84,12.53,0.03
71,"Sudzal",1626,1835,209,12.85,12.37,0.01
63,"Samahil",4975,5570,595,11.96,11.88,0.03
35,"Hoctún",5578,6253,675,12.1,11.85,0.03
55,"Opichén",6234,6963,729,11.69,11.6,0.04
102,"Valladolid",68496,77088,8592,12.54,11.58,0.44
15,"Cuzamá",4954,5525,571,11.53,11.5,0.03
75,"Teabo",6140,6851,711,11.58,11.46,0.04
85,"Temozón",14606,16283,1677,11.48,11.33,0.09
50,"Mérida",696800,790526,93726,13.45,11.28,4.79
80,"Tekit",9813,10917,1104,11.25,11.17,0.06
18,"Chapab",2995,3334,339,11.32,11.17,0.02
51,"Mocochá",2980,3320,340,11.41,11.07,0.02
36,"Homún",7188,7975,787,10.95,10.84,0.04
91,"Tinum",11042,12237,1195,10.82,10.46,0.06
79,"Tekax",39302,43495,4193,10.67,10.34,0.21
76,"Tecoh",16061,17707,1646,10.25,10.16,0.08
30,"Dzitás",3478,3836,358,10.29,10.11,0.02
16,"Chacsinkín",2795,3080,285,10.2,10.11,0.01
39,"Ixil",3740,4117,377,10.08,9.91,0.02
90,"Timucuy",6761,7430,669,9.89,9.79,0.03
33,"Halachó",18346,20187,1841,10.03,9.65,0.09
99,"Uayma",3753,4114,361,9.62,9.55,0.02
52,"Motul",33053,36256,3203,9.69,9.43,0.16
104,"Yaxcabá",14523,15868,1345,9.26,9.09,0.07
48,"Maxcanú",21383,23335,1952,9.13,8.99,0.1
7,"Cacalchén",6721,7332,611,9.09,8.97,0.03
2,"Acanceh",15118,16471,1353,8.95,8.82,0.07
65,"San Felipe",1790,1951,161,8.99,8.75,0.01
62,"Sacalum",4515,4906,391,8.66,8.52,0.02
66,"Santa Elena",3761,4083,322,8.56,8.4,0.02
45,"Kopomá",2418,2616,198,8.19,8.08,0.01
40,"Izamal",25153,27224,2071,8.23,7.97,0.11
53,"Muna",12041,13001,960,7.97,7.78,0.05
96,"Tizimín",69665,75295,5630,8.08,7.7,0.29
67,"Seyé",9185,9886,701,7.63,7.56,0.04
89,"Ticul",36083,38915,2832,7.85,7.51,0.14
98,"Tzucacab",13504,14551,1047,7.75,7.47,0.05
54,"Muxupip",2707,2906,199,7.35,7.22,0.01
37,"Huhí",4799,5145,346,7.21,7.15,0.02
28,"Dzilam de Bravo",2273,2445,172,7.57,6.98,0.01
14,"Cuncunul",1539,1649,110,7.15,6.9,0.01
4,"Baca",5450,5822,372,6.83,6.53,0.02
34,"Hocabá",6038,6434,396,6.56,6.53,0.02
103,"Xocchel",3200,3408,208,6.5,6.43,0.01
32,"Espita",15213,16155,942,6.19,6.05,0.05
5,"Bokobá",2020,2144,124,6.14,6.04,0.01
58,"Peto",23190,24626,1436,6.19,5.94,0.07
83,"Telchac Puerto",1617,1718,101,6.25,5.85,0.01
6,"Buctzotz",8417,8905,488,5.8,5.65,0.02
69,"Sotuta",8389,8860,471,5.61,5.57,0.02
93,"Tixkokob",16778,17721,943,5.62,5.49,0.05
20,"Chicxulub Pueblo",4016,4237,221,5.5,5.37,0.01
23,"Chocholá",4416,4657,241,5.46,5.32,0.01
64,"Sanahcat",1609,1689,80,4.97,4.94,0
29,"Dzilam González",5682,5973,291,5.12,4.93,0.01
95,"Tixpéhual",5281,5540,259,4.9,4.81,0.01
81,"Tekom",3046,3193,147,4.83,4.74,0.01
22,"Chikindzonot",4101,4280,179,4.36,4.3,0.01
17,"Chankom",4412,4564,152,3.45,3.41,0.01
74,"Tahmek",3551,3674,123,3.46,3.41,0.01
78,"Tekantó",3578,3698,120,3.35,3.26,0.01
97,"Tunkás",3366,3477,111,3.3,3.2,0.01
1,"Abalá",6322,6518,196,3.1,3.08,0.01
26,"Dzemul",3383,3487,104,3.07,2.98,0.01
24,"Chumayel",3110,3195,85,2.73,2.7,0
68,"Sinanché",2974,3057,83,2.79,2.66,0
77,"Tekal de Venegas",2519,2583,64,2.54,2.46,0
57,"Panabá",7229,7370,141,1.95,1.89,0.01
84,"Temax",6770,6898,128,1.89,1.88,0.01
106,"Yobaín",2047,2072,25,1.22,1.17,0
27,"Dzidzantún",7813,7854,41,0.52,0.5,0
70,"Sucilá",3766,3778,12,0.32,0.31,0
42,"Kantunil",5381,5380,-1,-0.02,-0.02,0
31,"Dzoncauich",2713,2710,-3,-0.11,-0.11,0
60,"Quintana Roo",925,921,-4,-0.43,-0.42,0
72,"Suma",1820,1799,-21,-1.15,-1.12,0
82,"Telchac Pueblo",3383,3330,-53,-1.57,-1.49,0
12,"Cenotillo",3607,3551,-56,-1.55,-1.51,0
88,"Teya",1943,1884,-59,-3.04,-2.98,0
8,"Calotmul",3888,3706,-182,-4.68,-4.44,-0.01
86,"Tepakán",2164,2047,-117,-5.41,-5.26,-0.01
9,"Cansahcab",4567,4294,-273,-5.98,-5.81,-0.01
